lemma	pos	gender
α	NOUN	n
α	NOUN	n
ἆ	VERB	-
ἃ	PRON	-
ἀάατος	ADJ	-
ἀαγής	ADJ	-
ἀάζω	VERB	-
ἀακίδωτος	ADJ	-
ἄανθα	NOUN	f
ἀάπλετος	ADJ	-
ἄαπτος	ADJ	-
ἀασιφρονία	NOUN	f
ἀασμός	NOUN	m
ἀατήρ	NOUN	m
ἄατος	ADJ	-
ἀάω	VERB	-
ἀβαθής	ADJ	-
ἄβαθρος	ADJ	-
ἀβακέω	VERB	-
ἀβακής	ADJ	-
ἀβακίζομαι	VERB	-
ἀβάκιον	NOUN	n
ἀβακίσκος	NOUN	m
ἀβακοειδής	ADJ	-
ἀβάκχευτος	ADJ	-
ἀβακχίωτος	ADJ	-
ἀβαμβάκευτος	ADJ	-
ἄβαξ	NOUN	m
ἀβάπτιστος	ADJ	-
ἄβαπτος	ADJ	-
ἀβαρβάριστος	ADJ	-
ἀβαρής	ADJ	-
ἀβασάνιστος	ADJ	-
ἀβασίλευτος	ADJ	-
ἀβασκάνιστος	ADJ	-
ἀβάσκανος	ADJ	-
ἀβάσκαντος	ADJ	-
ἀβάστακτος	ADJ	-
ἀβατόομαι	VERB	-
ἄβατος	NOUN	n
ἀβαφής	ADJ	-
ἀβδέλυκτος	ADJ	-
Ἀβδηρίτης	NOUN	m
ἄβδης	NOUN	m
ἀβέβαιος	ADJ	-
ἀβεβαιότης	NOUN	f
ἀβέβηλος	ADJ	-
ἀβελτέρειος	ADJ	-
ἀβελτερεύομαι	VERB	-
ἀβελτερία	NOUN	f
ἀβελτεροκόκκυξ	NOUN	m
ἀβέλτερος	ADJ	-
ἀβίαστος	ADJ	-
ἀβίβαστος	ADJ	-
ἀβίβλης	NOUN	m
ἄβιος	ADJ	-
ἀβίοτος	ADJ	-
ἀβιωτοποιός	ADJ	-
ἀβίωτος	NOUN	n
ἀβλάβεια	NOUN	f
ἀβλαβής	ADJ	-
ἀβλαβία	NOUN	f
ἄβλαπτος	ADJ	-
ἀβλαστέω	VERB	-
ἄβλαστος	ADJ	-
ἀβλάστητος	ADJ	-
