,lemma,pos,gender,word_cluster,TYPE
0,α,NOUN,n,0,
1,α,NOUN,n,0,
44,ἀβέβαιος,ADJ,-,43,
16947,βέβαιος,ADJ,-,43,
45,ἀβεβαιότης,NOUN,f,44,
16948,βεβαιότης,NOUN,f,44,
46,ἀβέβηλος,ADJ,-,45,
16959,βέβηλος,ADJ,-,45,
51,ἀβέλτερος,ADJ,-,50,
16991,βέλτερος,ADJ,-,50,
64,ἄβλαστος,ADJ,-,63,
3293,ἄλαστος,ADJ,-,63,
78,ἀβληχρός,ADJ,-,77,
17252,βληχρός,ADJ,-,77,
101,ἀβούτης,NOUN,m,100,
17718,βούτης,NOUN,m,100,
145,ἀβροχικός,ADJ,-,144,
18013,βροχικός,ADJ,-,144,
183,ἀγαθοεργασία,NOUN,f,182,WR
185,ἀγαθοεργία,NOUN,f,182,WR
217,ἀγαλλιάω,VERB,-,215,
18327,γαλιάω,VERB,-,215,
251,ἀγανακτητικός,ADJ,-,249,WR
253,ἀγανακτικός,ADJ,-,249,WR
287,ἀγαυρίαμα,NOUN,n,284,
18455,γαυρίαμα,NOUN,n,284,
306,ἀγγελικός,ADJ,-,303,
348,ἀγελικός,ADJ,-,303,
312,ἀγγελτικός,ADJ,-,309,
31173,ἐξαγγελτικός,ADJ,-,309,
338,ἀγελαστικός,ADJ,-,335,
18526,γελαστικός,ADJ,-,335,
350,ἀγέλοιος,ADJ,-,346,
18541,γέλοιος,ADJ,-,346,
354,ἀγένεια,NOUN,f,350,WR
359,ἀγέννεια,NOUN,f,350,WR
356,ἀγενής,ADJ,-,352,WR
360,ἀγεννής,ADJ,-,352,WR
357,ἀγενησία,NOUN,f,353,WR
361,ἀγεννησία,NOUN,f,353,WR
358,ἀγένητος,ADJ,-,354,WR
362,ἀγέννητος,ADJ,-,354,WR
378,ἀγεωμέτρητος,ADJ,-,370,
18748,γεωμέτρητος,ADJ,-,370,
395,ἀγήρατος,NOUN,m,387,
396,ἀγήρατος,NOUN,m,387,
405,ἁγιασμός,NOUN,m,396,
416,ἁγισμός,NOUN,m,396,
430,ἀγκαλίζομαι,VERB,-,420,
44879,καλίζομαι,VERB,-,420,
561,ἁγνευτήριον,NOUN,n,551,
99269,χωνευτήριον,NOUN,n,551,
567,ἁγνιασμός,NOUN,m,557,WR
571,ἁγνισμός,NOUN,m,557,WR
573,ἁγνιστήριον,NOUN,n,562,
54950,μαδιστήριον,NOUN,n,562,
98844,χριστήριον,NOUN,n,562,
579,ἀγνοηματίζω,VERB,-,568,
60487,νοηματίζω,VERB,-,568,
600,ἀγνωμονεύω,VERB,-,589,
19117,γνωμονεύω,VERB,-,589,
602,ἀγνωμοσύνη,NOUN,f,591,
19120,γνωμοσύνη,NOUN,f,591,
612,ἀγξηραίνω,VERB,-,601,WR
5983,ἀναξηραίνω,VERB,-,601,WR
26025,ἐγξηραίνω,VERB,-,601,
742,ἀγριόφυλλον,NOUN,n,731,
59118,μυριόφυλλον,NOUN,n,731,
811,ἀγυμνασία,NOUN,f,800,
19477,γυμνασία,NOUN,f,800,
895,ἄγχουρος,NOUN,m,884,
896,ἄγχουρος,NOUN,m,884,
899,ἀγχουσίζομαι,VERB,-,887,
26104,ἐγχουσίζομαι,VERB,-,887,
919,ἀγώνιος,ADJ,-,907,
19641,γώνιος,ADJ,-,907,
935,ἄγωνος,NOUN,m,923,
936,ἄγωνος,NOUN,m,923,
956,ἀδάμας,NOUN,m,943,
957,ἀδάμας,NOUN,m,943,
991,ἀδελφεοκτόνος,ADJ,-,977,WR
1004,ἀδελφοκτόνος,ADJ,-,977,WR
1011,ἀδελφός,NOUN,m,996,
1012,ἀδελφός,NOUN,m,996,
1103,ἀδιαπνευστία,NOUN,f,1087,
21697,διαπνευστία,NOUN,f,1087,
1442,ἀερέθομαι,VERB,-,1426,
39934,ἠγερέθομαι,VERB,-,1426,
1456,ἀεροδρόμος,ADJ,-,1440,
1938,αἰθεροδρόμος,ADJ,-,1440,
1457,ἀεροειδής,ADJ,-,1441,WR
40040,ἠεροειδής,ADJ,-,1441,WR
1575,ἄητος,NOUN,m,1559,
1576,ἄητος,NOUN,m,1559,
1580,ἀθαλασσία,NOUN,f,1563,
40854,θαλασσία,NOUN,f,1563,
1612,ἀθέλεος,ADJ,-,1595,
41136,θέλεος,ADJ,-,1595,
1615,ἀθελξίνοος,ADJ,-,1598,
41155,θελξίνοος,ADJ,-,1598,
1632,ἀθεραπευσία,NOUN,f,1615,
24762,δυσθεραπευσία,NOUN,f,1615,
41407,θεραπευσία,NOUN,f,1615,
1637,ἀθέριστος,ADJ,-,1620,
95246,φέριστος,ADJ,-,1620,
1639,ἄθερμος,ADJ,-,1622,
27270,ἔκθερμος,ADJ,-,1622,
1675,ἀθήρευτος,ADJ,-,1658,
15325,αὐτοθήρευτος,ADJ,-,1658,
1730,ἀθριπήδεστος,ADJ,-,1713,
42087,θριπήδεστος,ADJ,-,1713,
1742,ἀθυμέω,VERB,-,1725,
63392,ὀξυθυμέω,VERB,-,1725,
1744,ἀθυμία,NOUN,f,1727,
42250,θυμία,NOUN,f,1727,
1786,αἰγάριον,NOUN,n,1769,
18407,γάριον,NOUN,n,1769,
1926,αἴθαλος,NOUN,m,1909,
1927,αἴθαλος,NOUN,m,1909,
2021,αἱμάσσω,VERB,-,2002,
43114,ἱμάσσω,VERB,-,2002,
2031,αἱμάτιον,NOUN,n,2012,
43125,ἱμάτιον,NOUN,n,2012,
2120,αἰνέω,VERB,-,2101,
43177,ἰνέω,VERB,-,2101,
2338,αἰτητικός,ADJ,-,2319,
43896,ἰτητικός,ADJ,-,2319,
2384,αἰωνίζω,VERB,-,2365,
44012,Ἰωνίζω,VERB,-,2365,
2412,ἀκαίριμος,ADJ,-,2393,
44405,καίριμος,ADJ,-,2393,
2413,ἀκαίριος,ADJ,-,2394,
44407,καίριος,ADJ,-,2394,
2427,ἀκακοήθης,ADJ,-,2408,
44538,κακοήθης,ADJ,-,2408,
2428,ἀκακοπαθέω,VERB,-,2409,
44619,κακοπαθέω,VERB,-,2409,
2441,ἀκαλός,ADJ,-,2422,
45098,καλός,ADJ,-,2422,
2463,ἀκανθήεις,ADJ,-,2444,
44432,κακανθήεις,ADJ,-,2444,
2486,ἀκανθώδης,ADJ,-,2467,
45315,κανθώδης,ADJ,-,2467,
2521,ἀκατάγγελτος,ADJ,-,2502,
45843,κατάγγελτος,ADJ,-,2502,
2526,ἀκαταθύμιος,ADJ,-,2507,
46102,καταθύμιος,ADJ,-,2507,
2533,ἀκατάκριτος,ADJ,-,2514,
46325,κατάκριτος,ADJ,-,2514,
2539,ἀκαταλληλία,NOUN,f,2520,
46443,καταλληλία,NOUN,f,2520,
2540,ἀκατάλληλος,ADJ,-,2521,
46444,κατάλληλος,ADJ,-,2521,
2544,ἀκατάμακτος,ADJ,-,2525,
46491,κατάμακτος,ADJ,-,2525,
2552,ἀκατανόητος,ADJ,-,2533,
37865,εὐκατανόητος,ADJ,-,2533,
2557,ἀκατάπληκτος,ADJ,-,2538,
46834,κατάπληκτος,ADJ,-,2538,
2567,ἀκατασκεύαστος,ADJ,-,2548,
12587,ἀπροκατασκεύαστος,ADJ,-,2548,
2568,ἀκατάσκευος,ADJ,-,2549,
25749,ἐγκατάσκευος,ADJ,-,2549,
47119,κατάσκευος,ADJ,-,2549,
2581,ἀκατάσχετος,ADJ,-,2562,
47324,κατάσχετος,ADJ,-,2562,
2588,ἀκαταφρόνητος,ADJ,-,2569,
24829,δυσκαταφρόνητος,ADJ,-,2569,
